"Age, ybp",Age (calender),BSi MAR (mgSiO2/cm2y),,,"Age, cal ybp",Age (calender),BSi MAR (mgSiO2/cm2y)
(Years before 2002),,,,,(Years before 2002),,
5334,-3332,6.61,,,7279,-5277,4.93
5354,-3352,5.89,,,7300,-5298,6.00
5374,-3372,8.78,,,7321,-5319,6.11
5394,-3392,5.97,,,7342,-5340,5.01
5413,-3411,7.99,,,7363,-5361,6.69
5433,-3431,6.29,,,7385,-5383,3.81
5453,-3451,5.66,,,7406,-5404,4.56
5473,-3471,4.11,,,7427,-5425,7.53
5495,-3493,5.31,,,7448,-5446,5.25
5517,-3515,4.08,,,7470,-5468,4.99
5539,-3537,5.87,,,7491,-5489,5.35
5561,-3559,4.83,,,7512,-5510,4.13
5583,-3581,4.97,,,7533,-5531,4.25
5605,-3603,6.45,,,7555,-5553,2.82
5627,-3625,4.67,,,7576,-5574,3.66
5649,-3647,5.12,,,7597,-5595,5.35
5671,-3669,3.77,,,7618,-5616,4.67
5693,-3691,4.74,,,7640,-5638,5.77
5715,-3713,4.34,,,7661,-5659,6.28
5737,-3735,4.75,,,7682,-5680,7.53
5759,-3757,3.44,,,7703,-5701,5.82
5781,-3779,4.02,,,7725,-5723,4.42
5803,-3801,3.88,,,7746,-5744,5.96
5825,-3823,4.55,,,7767,-5765,5.26
5847,-3845,6.42,,,7788,-5786,8.33
5869,-3867,6.05,,,7810,-5808,4.76
5891,-3889,4.06,,,7831,-5829,4.34
5913,-3911,3.79,,,7852,-5850,6.03
5935,-3933,5.71,,,7873,-5871,4.01
5957,-3955,4.37,,,7894,-5892,5.75
5979,-3977,5.04,,,7916,-5914,5.30
6001,-3999,7.06,,,7937,-5935,7.43
6023,-4021,7.85,,,7958,-5956,4.97
6045,-4043,4.71,,,7979,-5977,4.76
6067,-4065,6.56,,,8001,-5999,4.53
6090,-4088,6.93,,,8022,-6020,4.36
6112,-4110,7.98,,,8043,-6041,5.88
6134,-4132,8.24,,,8064,-6062,5.43
6156,-4154,5.27,,,8086,-6084,5.25
6178,-4176,6.69,,,8107,-6105,5.47
6200,-4198,5.82,,,8128,-6126,6.24
6222,-4220,6.23,,,8149,-6147,7.46
6244,-4242,5.41,,,8171,-6169,4.95
6266,-4264,7.15,,,8192,-6190,6.61
6288,-4286,6.30,,,8213,-6211,7.23
6310,-4308,7.18,,,8234,-6232,6.68
6332,-4330,6.39,,,8256,-6254,7.17
6354,-4352,6.31,,,8277,-6275,5.45
6376,-4374,5.33,,,8298,-6296,3.94
6398,-4396,5.28,,,8319,-6317,5.76
6420,-4418,7.03,,,8341,-6339,6.33
6442,-4440,6.99,,,8362,-6360,4.69
6464,-4462,7.97,,,8383,-6381,5.32
6486,-4484,5.23,,,8404,-6402,4.77
6508,-4506,6.75,,,8426,-6424,4.38
6530,-4528,7.42,,,8447,-6445,4.19
6552,-4550,6.82,,,8468,-6466,4.65
6574,-4572,5.97,,,8489,-6487,4.73
6596,-4594,5.68,,,8510,-6508,5.61
6618,-4616,3.96,,,8532,-6530,5.74
6640,-4638,5.70,,,8553,-6551,4.59
6662,-4660,6.31,,,8574,-6572,4.42
6684,-4682,6.70,,,8595,-6593,4.21
6706,-4704,4.16,,,8617,-6615,4.82
6728,-4726,6.44,,,8638,-6636,3.93
6750,-4748,5.78,,,8659,-6657,4.59
6772,-4770,5.23,,,8680,-6678,5.69
6794,-4792,5.30,,,8702,-6700,5.55
6816,-4814,7.53,,,8723,-6721,5.04
6838,-4836,5.68,,,8744,-6742,5.81
6860,-4858,5.76,,,8765,-6763,6.58
6882,-4880,5.69,,,8787,-6785,6.01
6904,-4902,7.23,,,8808,-6806,7.69
6926,-4924,4.30,,,8829,-6827,5.30
6948,-4946,5.84,,,8850,-6848,8.27
6970,-4968,7.09,,,8872,-6870,7.55
6992,-4990,5.64,,,8893,-6891,5.88
7014,-5012,6.79,,,8914,-6912,5.99
7036,-5034,9.22,,,8935,-6933,5.57
7058,-5056,4.11,,,8957,-6955,6.18
7080,-5078,3.92,,,8978,-6976,4.78
7102,-5100,5.81,,,8999,-6997,5.37
7124,-5122,7.21,,,9020,-7018,6.26
7146,-5144,6.62,,,9042,-7040,6.99
7168,-5166,4.67,,,9063,-7061,7.53
7190,-5188,4.87,,,9084,-7082,7.33
7212,-5210,5.00,,,9107,-7105,4.92
7234,-5232,7.81,,,9131,-7129,5.25
7256,-5254,6.99,,,9154,-7152,5.28
7278,-5276,6.54,,,9177,-7175,3.15
7301,-5299,5.33,,,9201,-7199,4.82
7323,-5321,7.24,,,9224,-7222,6.60
7345,-5343,5.86,,,9247,-7245,3.35
7367,-5365,4.47,,,9271,-7269,4.19
7389,-5387,6.23,,,9294,-7292,4.71
7411,-5409,5.28,,,9318,-7316,5.52
7433,-5431,5.09,,,9341,-7339,3.40
7455,-5453,4.52,,,9364,-7362,4.24
7477,-5475,6.71,,,9388,-7386,5.17
7499,-5497,5.82,,,9411,-7409,3.93
7521,-5519,6.59,,,9434,-7432,4.25
7543,-5541,6.29,,,9458,-7456,4.43
7565,-5563,6.79,,,9481,-7479,3.82
7587,-5585,4.35,,,9504,-7502,5.22
7609,-5607,3.85,,,9528,-7526,3.87
7631,-5629,3.89,,,9551,-7549,6.18
7653,-5651,5.52,,,9574,-7572,3.38
7675,-5673,6.31,,,9598,-7596,4.36
7697,-5695,7.44,,,9621,-7619,5.21
7719,-5717,9.55,,,9644,-7642,6.06
7741,-5739,7.08,,,9668,-7666,7.35
7763,-5761,6.92,,,9691,-7689,5.88
7785,-5783,6.74,,,9715,-7713,4.24
7807,-5805,7.07,,,9738,-7736,4.31
7829,-5827,5.40,,,9761,-7759,4.22
7851,-5849,4.66,,,9785,-7783,3.60
7873,-5871,5.48,,,9808,-7806,5.10
7895,-5893,5.03,,,9831,-7829,4.72
7917,-5915,5.93,,,9855,-7853,3.05
7939,-5937,6.84,,,9878,-7876,3.48
7961,-5959,5.92,,,9901,-7899,4.32
7983,-5981,5.66,,,9925,-7923,5.28
8005,-6003,4.76,,,9948,-7946,5.71
8027,-6025,4.91,,,9971,-7969,5.59
8049,-6047,4.76,,,9995,-7993,6.03
8071,-6069,6.60,,,10018,-8016,7.10
8093,-6091,6.60,,,10041,-8039,5.95
8115,-6113,6.49,,,10065,-8063,7.19
8137,-6135,6.40,,,10088,-8086,6.21
8159,-6157,6.22,,,10112,-8110,6.27
8181,-6179,6.11,,,10135,-8133,6.43
8203,-6201,7.41,,,10158,-8156,6.45
8225,-6223,7.59,,,10182,-8180,7.07
8247,-6245,6.56,,,10205,-8203,6.17
8269,-6267,4.52,,,10228,-8226,6.51
8291,-6289,5.95,,,10252,-8250,6.97
8313,-6311,5.37,,,10275,-8273,9.86
8335,-6333,4.88,,,10300,-8298,7.09
8357,-6355,4.46,,,10324,-8322,7.52
8379,-6377,4.90,,,10349,-8347,8.92
8401,-6399,4.71,,,10374,-8372,5.13
8423,-6421,5.70,,,10399,-8397,2.79
8445,-6443,4.11,,,10423,-8421,3.32
8467,-6465,6.46,,,10448,-8446,2.13
8490,-6488,5.27,,,10473,-8471,2.41
8512,-6510,5.72,,,10497,-8495,2.06
8534,-6532,4.61,,,10522,-8520,1.57
8556,-6554,5.12,,,10547,-8545,1.67
8578,-6576,4.81,,,10572,-8570,1.96
8600,-6598,5.35,,,10596,-8594,1.85
8622,-6620,6.80,,,10621,-8619,1.50
8644,-6642,5.57,,,10645,-8643,1.63
8666,-6664,5.59,,,10669,-8667,1.68
8688,-6686,6.71,,,10693,-8691,2.14
8710,-6708,6.61,,,10717,-8715,1.72
8732,-6730,5.98,,,10742,-8740,1.94
8754,-6752,7.68,,,10766,-8764,1.50
8776,-6774,7.26,,,10790,-8788,1.61
8798,-6796,9.54,,,10814,-8812,2.49
8820,-6818,7.80,,,10838,-8836,2.93
8842,-6840,6.74,,,10862,-8860,3.77
8864,-6862,6.62,,,10886,-8884,1.84
8886,-6884,8.08,,,10910,-8908,2.31
8908,-6906,6.19,,,10935,-8933,2.23
8930,-6928,6.91,,,10959,-8957,2.79
8952,-6950,7.31,,,10983,-8981,2.37
8974,-6972,5.98,,,11007,-9005,2.27
8996,-6994,6.60,,,11031,-9029,1.83
9018,-7016,6.23,,,11055,-9053,2.15
9040,-7038,6.41,,,11079,-9077,2.10
9062,-7060,7.57,,,11103,-9101,2.04
9084,-7082,4.44,,,11128,-9126,2.73
9108,-7106,5.60,,,11152,-9150,2.80
9133,-7131,4.91,,,11176,-9174,2.79
9157,-7155,4.13,,,11200,-9198,3.75
9181,-7179,3.69,,,11224,-9222,3.44
9206,-7204,4.45,,,11248,-9246,2.79
9230,-7228,4.46,,,11272,-9270,3.36
9254,-7252,4.08,,,11296,-9294,3.78
9278,-7276,4.43,,,11320,-9318,3.72
9303,-7301,4.49,,,11345,-9343,5.46
9327,-7325,4.26,,,11369,-9367,6.17
9351,-7349,3.59,,,11393,-9391,3.03
9376,-7374,3.12,,,11417,-9415,4.92
9400,-7398,3.83,,,11441,-9439,3.96
9424,-7422,4.56,,,11465,-9463,3.86
9449,-7447,5.02,,,11489,-9487,3.66
9473,-7471,4.47,,,11513,-9511,2.54
9497,-7495,6.18,,,11538,-9536,2.19
9522,-7520,3.56,,,11562,-9560,2.03
9546,-7544,5.15,,,11586,-9584,2.31
9570,-7568,4.57,,,11610,-9608,1.72
9594,-7592,7.21,,,11634,-9632,1.71
9619,-7617,7.08,,,11657,-9655,2.33
9643,-7641,6.79,,,11679,-9677,1.86
9667,-7665,8.85,,,11702,-9700,2.08
9692,-7690,5.06,,,11725,-9723,2.20
9716,-7714,5.31,,,11748,-9746,2.33
9740,-7738,4.75,,,11770,-9768,3.05
9765,-7763,4.28,,,11793,-9791,2.73
9789,-7787,4.39,,,11816,-9814,2.60
9813,-7811,5.75,,,11839,-9837,3.73
9837,-7835,4.17,,,11861,-9859,3.23
9862,-7860,3.32,,,11884,-9882,3.39
9886,-7884,4.39,,,11907,-9905,4.70
9910,-7908,4.43,,,11929,-9927,5.30
9935,-7933,6.58,,,11952,-9950,6.64
9959,-7957,6.43,,,11975,-9973,5.42
9983,-7981,6.92,,,11998,-9996,6.67
10008,-8006,6.42,,,12020,-10018,3.80
10032,-8030,7.21,,,12043,-10041,4.84
10056,-8054,5.34,,,12066,-10064,4.47
10081,-8079,5.57,,,12088,-10086,5.00
10105,-8103,6.88,,,12111,-10109,5.77
10129,-8127,6.86,,,12134,-10132,6.04
10153,-8151,5.03,,,12157,-10155,5.19
10178,-8176,9.49,,,12179,-10177,5.12
10202,-8200,6.28,,,12202,-10200,5.74
10226,-8224,8.27,,,12225,-10223,4.48
10251,-8249,9.09,,,12248,-10246,6.23
10275,-8273,12.40,,,12270,-10268,7.24
10300,-8298,7.71,,,12293,-10291,7.01
10324,-8322,7.81,,,12316,-10314,5.87
10349,-8347,5.03,,,12338,-10336,6.08
10374,-8372,2.68,,,12361,-10359,5.87
10399,-8397,6.10,,,12384,-10382,4.89
10423,-8421,6.17,,,12407,-10405,4.95
10448,-8446,2.64,,,12429,-10427,5.26
10473,-8471,2.24,,,12452,-10450,6.17
10497,-8495,2.39,,,12475,-10473,6.54
10522,-8520,3.04,,,12497,-10495,6.17
10547,-8545,2.89,,,12520,-10518,7.55
10572,-8570,5.23,,,12543,-10541,4.01
10596,-8594,2.55,,,12566,-10564,7.87
10621,-8619,1.92,,,12588,-10586,8.50
10646,-8644,2.34,,,12611,-10609,6.17
10670,-8668,2.14,,,12634,-10632,7.99
10695,-8693,2.13,,,12657,-10655,5.01
10720,-8718,2.07,,,12679,-10677,7.06
10745,-8743,1.88,,,12702,-10700,7.40
10769,-8767,2.13,,,12725,-10723,5.97
10794,-8792,2.97,,,12747,-10745,5.93
10819,-8817,2.33,,,12770,-10768,5.96
10843,-8841,2.51,,,12793,-10791,6.82
10868,-8866,1.91,,,12816,-10814,5.52
10893,-8891,2.07,,,12838,-10836,3.79
10917,-8915,3.00,,,12861,-10859,4.70
10942,-8940,2.65,,,12884,-10882,6.51
10967,-8965,4.56,,,12906,-10904,7.55
10992,-8990,3.10,,,12929,-10927,4.11
11016,-9014,4.76,,,12952,-10950,3.71
11041,-9039,5.09,,,12975,-10973,4.86
11066,-9064,3.19,,,12997,-10995,3.76
11090,-9088,3.66,,,13020,-11018,5.00
11115,-9113,3.68,,,13043,-11041,4.23
11140,-9138,2.95,,,13066,-11064,3.75
11165,-9163,2.38,,,13088,-11086,3.45
11189,-9187,2.51,,,13111,-11109,3.14
11214,-9212,4.03,,,13155,-11153,2.01
11239,-9237,3.05,,,13200,-11198,1.84
